Price,Neighborhood,Size,Date Posted,Comment,Link,ID,Retrieval_Year,Retrieval_Month,Retrieval_Day
"$2,100 ", (Kalorama & Adams Morgan),/ 1br - ,18-Sep,Sunny Apt in Kalorama & Adams Morgan,https://washingtondc.craigslist.org/doc/apa/5195468859.html,5195468859,2015,9,18
"$2,100 ", (Kalorama & Adams Morgan),/ 1br - ,18-Sep,Sunny Apt in Kalorama & Adams Morgan,https://washingtondc.craigslist.org/doc/apa/5223149710.html,5223149710,2015,9,18
"$2,100 ", (Kalorama & Adams Morgan),/ 1br - ,18-Sep,Sunny Apt in Kalorama & Adams Morgan,https://washingtondc.craigslist.org/doc/apa/5194913410.html,5194913410,2015,9,18
"$2,050 ", (Kalorama & Adams Morgan),/ 1br - ,18-Sep,Sunny Apt in Adams Morgan,https://washingtondc.craigslist.org/doc/apa/5190344571.html,5190344571,2015,9,18
"$2,099 ", (Kalorama & Adams Morgan),/ 1br - ,18-Sep,Sunny Apt in Kalorama & Adams Morgan ready,https://washingtondc.craigslist.org/doc/apa/5194240240.html,5194240240,2015,9,18
"$2,085 ", (Kalorama & Adams Morgan),/ 1br - ,18-Sep,1br - Sunny Apt in Kalorama & Adams Morgan,https://washingtondc.craigslist.org/doc/apa/5227770904.html,5227770904,2015,9,18
"$2,085 ", (Kalorama & Adams Morgan),/ 1br - ,18-Sep,1br - Sunny Apt in Kalorama & Adams Morgan,https://washingtondc.craigslist.org/doc/apa/5227609075.html,5227609075,2015,9,18
"$2,099 ", (Kalorama & Adams Morgan),/ 1br - ,17-Sep,Sunny Apt in Kalorama & Adams Morgan ready,https://washingtondc.craigslist.org/doc/apa/5194943094.html,5194943094,2015,9,18
"$2,099 ", (Kalorama & Adams Morgan),/ 1br - ,17-Sep,Sunny Apt in Kalorama & Adams Morgan ready,https://washingtondc.craigslist.org/doc/apa/5188599234.html,5188599234,2015,9,18
"$1,955 ", (Adams Morgan),/ 1br - 670ft,17-Sep,1 Bedroom in Adams Morgan!,https://washingtondc.craigslist.org/doc/apa/5226024680.html,5226024680,2015,9,18
"$2,099 ", (Kalorama & Adams Morgan),/ 1br - ,17-Sep,1br - Sunny Apt in Kalorama & Adams Morgan,https://washingtondc.craigslist.org/doc/apa/5212291448.html,5212291448,2015,9,18
"$2,100 ", (Kalorama / Adams Morgan),/ 1br - ,16-Sep,Sunny Apt in Kalorama & Adams Morgan,https://washingtondc.craigslist.org/doc/apa/5192044585.html,5192044585,2015,9,18
"$1,940 ", (Adams Morgan),/ 1br - 6701ft,16-Sep,Adams Morgan's Finest!,https://washingtondc.craigslist.org/doc/apa/5224153393.html,5224153393,2015,9,18
"$2,800 ", (Adams Morgan),/ 2br - ,18-Sep,Adams Morgan Apartment to Rent October 1,https://washingtondc.craigslist.org/doc/apa/5228488275.html,5228488275,2015,9,18
"$2,095 ", (Adams Morgan and Kalorama Triangle),/ 1br - ,18-Sep,1br - Corner Unit in Adams Morgan/Kalorama w/ New Bathroom,https://washingtondc.craigslist.org/doc/apa/5182439303.html,5182439303,2015,9,18
"$1,850 ", (Adams Morgan),/ 1br - 800ft,18-Sep,HUGE 1 BR APT B/W ADAMS MORGAN & DUPONT,https://washingtondc.craigslist.org/doc/apa/5211727352.html,5211727352,2015,9,18
"$2,775 ", (Adams Morgan),/ 2br - 1213ft,18-Sep,Renovated 2 bedroom for October Adams Morgan,https://washingtondc.craigslist.org/doc/apa/5228025399.html,5228025399,2015,9,18
"$2,446 ", (Adams Morgan),/ 2br - 1213ft,18-Sep,Oversized 2 bedroom in Adams Morgan,https://washingtondc.craigslist.org/doc/apa/5228027622.html,5228027622,2015,9,18
"$2,100 ", (DC - Adams Morgan),/ 1br - ,18-Sep,Spacious Corner Apartment in Heart of Adams Morgan,https://washingtondc.craigslist.org/doc/apa/5194916940.html,5194916940,2015,9,18
"$1,548 ", (Adams Morgan),/ 1br - ,18-Sep,Where is the fun at? At Adams Morgan! Of course!,https://washingtondc.craigslist.org/doc/apa/5227654558.html,5227654558,2015,9,18
"$2,099 ", (Adams Morgan DC),/ 1br - 500ft,18-Sep,Corner Apartment in Adams Morgan,https://washingtondc.craigslist.org/doc/apa/5189533234.html,5189533234,2015,9,18
"$1,800 ", (Adams Morgan),/ 2br - 1213ft,18-Sep,"Adams Morgan 1br/1ba, great views, nice light",https://washingtondc.craigslist.org/doc/apa/5227578713.html,5227578713,2015,9,18
"$2,775 ", (Adams Morgan),/ 2br - 1213ft,18-Sep,Renovated 2 bedroom for October Adams Morgan,https://washingtondc.craigslist.org/doc/apa/5227535190.html,5227535190,2015,9,18
"$2,446 ", (Adams Morgan),/ 1br - ,18-Sep,HUGE 2 bedroom with 2 full bath Adams Morgan *Move in Special,https://washingtondc.craigslist.org/doc/apa/5227533138.html,5227533138,2015,9,18
"$2,095 ", (Adams Morgan/Kalorama Triangle/Woodly),/ 1br - ,18-Sep,The Ultimate Location in Adams Morgan/Kalorama,https://washingtondc.craigslist.org/doc/apa/5193366198.html,5193366198,2015,9,18
"$2,095 ", (Kalorama / Adams Morgan),/ 1br - ,18-Sep,Large 1 Bedroom 1 Bath Apt in Adams Morgan,https://washingtondc.craigslist.org/doc/apa/5203977072.html,5203977072,2015,9,18
"$2,600 ", (Kalorama/Adams Morgan),/ 480ft,17-Sep,1 br and 1.5 ba Fully Furnished Condo in Adams Morgan,https://washingtondc.craigslist.org/doc/apa/5226721091.html,5226721091,2015,9,18
"$1,695 ", (Adams Morgan),/ 480ft,17-Sep,ADAMS MORGAN..STUDIO BLOWOUT WEEKEND!! AMAZING DEALS-FREE UTILITIES!!,https://washingtondc.craigslist.org/doc/apa/5216573601.html,5216573601,2015,9,18
"$1,549 ", (Adams Morgan),/ 1br - ,17-Sep,AMAZING DEAL IN ADAMS MORGAN!! Free Utilities & Newly Renovated Studio,https://washingtondc.craigslist.org/doc/apa/5216537586.html,5216537586,2015,9,18
"$2,095 ", (Adams Morgan/Kalorama Triangle/Woodly),/ 1br - ,17-Sep,Unbeatable Location in Adams Morgan 1 BD/1BT,https://washingtondc.craigslist.org/doc/apa/5196069335.html,5196069335,2015,9,18
"$2,100 ", (Adams Morgan / Kalorama Triangle),/ 2br - 1213ft,17-Sep,Beautiful Corner Apartment in Adams Morgan/Kalorama Triangle area,https://washingtondc.craigslist.org/doc/apa/5207357841.html,5207357841,2015,9,18
