Price,Neighborhood,Size,Date Posted,Comment,Link,ID,Retrieval_Year,Retrieval_Month,Retrieval_Day
$1614, (Columbia Heights),/ 1br - ,Sep 18,Wonderful Low Priced Rent In Columbia Heights,https://washingtondc.craigslist.org/doc/apa/5228453283.html,5228453283,2015,9,18
$1500, (Columbia Heights),/ 1br - ,Sep 18,Columbia Heights 1br English Basement Apt,https://washingtondc.craigslist.org/doc/apa/5228286483.html,5228286483,2015,9,18
$2000, (11th Street NW/ Columbia Heights/ Adam Morgan/ U Street),/ 2br - 1000ft,Sep 18,HUGE BEAUTIFUL COLUMBIA HEIGHTS 2BR/1BA w/ UTILITIES INCLUDED!,https://washingtondc.craigslist.org/doc/apa/5183308241.html,5183308241,2015,9,18
$1200, (Columbia Heights),/ 2br - 1050ft,Sep 18,Columbia Heights Master Bedroom with Own Bathroom,https://washingtondc.craigslist.org/doc/apa/5227742090.html,5227742090,2015,9,18
$2495, (Columbia Heights),/ 2br - ,Sep 18,Phenomenal new construction in Columbia Heights for less than $2500!,https://washingtondc.craigslist.org/doc/apa/5227709847.html,5227709847,2015,9,18
$2550, (Columbia Heights),/ 2br - 1150ft,Sep 18,2BR COLUMBIA HEIGHTS-OPEN HOUSE SUNDAY 9/20-1pm-PERFECT LOCATION!!,https://washingtondc.craigslist.org/doc/apa/5227518414.html,5227518414,2015,9,18
$3000," (U Street, U St NW, Columbia Heights)",/ 1br - 650ft,Sep 18,"U Street, Metro or Columbia Heights, Garage",https://washingtondc.craigslist.org/doc/apa/5227470261.html,5227470261,2015,9,18
$1499, (Columbia Heights),/ 2br - 650ft,Sep 18,Great Basement Apartment in Columbia Heights -- Free Utilities!,https://washingtondc.craigslist.org/doc/apa/5227439190.html,5227439190,2015,9,18
$1950, (Columbia Heights),/ 5br - 2100ft,Sep 17,2 Bedroom in Next To Columbia Heights Metro,https://washingtondc.craigslist.org/doc/apa/5227075298.html,5227075298,2015,9,18
$4500, (737 Girard St NW - Columbia Heights),/ 700ft,Sep 17,"Columbia Heights 3BR + 2 Den, 2 BA, Grand Living Room and Deck + Yard",https://washingtondc.craigslist.org/doc/apa/5190821271.html,5190821271,2015,9,18
$1400, (Columbia Heights),/ 1br - 600ft,Sep 17,Large Studio in Columbia Heights-3 blocks from Columbia Heights metro,https://washingtondc.craigslist.org/doc/apa/5226689787.html,5226689787,2015,9,18
$1500, (Petworth; Columbia Heights),/ 1br - 750ft,Sep 17,Just Renovated available now! Petworth - Columbia Heights - Park View,https://washingtondc.craigslist.org/doc/apa/5203121189.html,5203121189,2015,9,18
$1795, (Columbia Heights),/ 1br - 700ft,Sep 17,Lovely 1 bedroom Columbia Heights Unit,https://washingtondc.craigslist.org/doc/apa/5226333944.html,5226333944,2015,9,18
$1350, (Columbia Heights),/ 2br - ,Sep 17,Large One Bedroom in Great Columbia Heights Location,https://washingtondc.craigslist.org/doc/apa/5226221749.html,5226221749,2015,9,18
$2550, (Columbia Heights),/ 625ft,Sep 17,2BR COLUMBIA HEIGHTS-OPEN HOUSE SUNDAY 1PM-SUNNY/RENOVATED GEM!!,https://washingtondc.craigslist.org/doc/apa/5226164279.html,5226164279,2015,9,18
