Neighborhood,Price,Bedrooms,Sqft,Date Posted,Comment,Link,ID,Retrieval_Year,Retrieval_Month,Retrieval_Day
Adams Morgan,$1999,1,NA,Oct 4,Sunny Apt in Kalorama & Adams Morgan,https://washingtondc.craigslist.org/doc/apa/5239082529.html,5239082529,2015,10,4
Adams Morgan,$2099,1,NA,Oct 4,Sunny Apt in Kalorama & Adams Morgan ready,https://washingtondc.craigslist.org/doc/apa/5238015656.html,5238015656,2015,10,4
Adams Morgan,$2099,1,NA,Oct 3,Sunny Apt in Kalorama & Adams Morgan ready,https://washingtondc.craigslist.org/doc/apa/5244213442.html,5244213442,2015,10,4
Adams Morgan,$2050,1,NA,Oct 3,Sunny Apt in Adams Morgan,https://washingtondc.craigslist.org/doc/apa/5237511431.html,5237511431,2015,10,4
Adams Morgan,$2099,1,NA,Oct 3,Sunny Apt in Kalorama & Adams Morgan ready,https://washingtondc.craigslist.org/doc/apa/5244013041.html,5244013041,2015,10,4
Adams Morgan,$2049,1,NA,Oct 3,Sunny Apt in Kalorama & Adams Morgan,https://washingtondc.craigslist.org/doc/apa/5223149710.html,5223149710,2015,10,4
Adams Morgan,$2099,1,NA,Oct 3,1br - Sunny Apt in Kalorama & Adams Morgan,https://washingtondc.craigslist.org/doc/apa/5212291448.html,5212291448,2015,10,4
Adams Morgan,$1999,1,NA,Oct 3,Sunny Apt in Kalorama & Adams Morgan,https://washingtondc.craigslist.org/doc/apa/5250508558.html,5250508558,2015,10,4
Adams Morgan,$2085,1,NA,Oct 3,1br - Sunny Apt in Kalorama & Adams Morgan,https://washingtondc.craigslist.org/doc/apa/5227770904.html,5227770904,2015,10,4
Adams Morgan,$2100,1,NA,Oct 2,Sunny Apt in Kalorama & Adams Morgan,https://washingtondc.craigslist.org/doc/apa/5244782638.html,5244782638,2015,10,4
Adams Morgan,$2085,1,NA,Oct 2,1br - Sunny Apt in Kalorama & Adams Morgan,https://washingtondc.craigslist.org/doc/apa/5227609075.html,5227609075,2015,10,4
Adams Morgan,$2099,1,NA,Oct 4,Beautiful Corner Apartment in Adams Morgan/Kalorama Triangle,https://washingtondc.craigslist.org/doc/apa/5243674187.html,5243674187,2015,10,4
Adams Morgan,$1855,1,593,Sep 30,1 Bedroom in Adams Morgan! 2 weeks FREE!!!,https://washingtondc.craigslist.org/doc/apa/5245597083.html,5245597083,2015,10,4
Adams Morgan,$2049,1,NA,Oct 4,Beautiful Corner Apartment in Adams Morgan/Kalorama Triangle,https://washingtondc.craigslist.org/doc/apa/5247146469.html,5247146469,2015,10,4
Adams Morgan,$1999,1,NA,Sep 30,Sunny Apt in heart of Adams Morgan,https://washingtondc.craigslist.org/doc/apa/5235409824.html,5235409824,2015,10,4
Adams Morgan,$2100,1,NA,Oct 4,Sleek and Stylish Apt in Adams Morgan/Kalorama Triangle area,https://washingtondc.craigslist.org/doc/apa/5242848071.html,5242848071,2015,10,4
Adams Morgan,$1999,1,NA,Oct 3,Spacious Corner Apartment in Heart of Adams Morgan,https://washingtondc.craigslist.org/doc/apa/5232087616.html,5232087616,2015,10,4
Adams Morgan,$1999,1,NA,Oct 3,►►►Statley 1BD/1BTH in Central Adams Morgan,https://washingtondc.craigslist.org/doc/apa/5233337464.html,5233337464,2015,10,4
Adams Morgan,$1999,1,NA,Oct 3,►►►Statley 1BD/1BTH in Central Adams Morgan,https://washingtondc.craigslist.org/doc/apa/5233337390.html,5233337390,2015,10,4
Adams Morgan,$1999,1,NA,Oct 3,Adams Morgan Apt,https://washingtondc.craigslist.org/doc/apa/5231837910.html,5231837910,2015,10,4
Adams Morgan,$1999,1,NA,Oct 3,►►►Statley 1BD/1BTH in Central Adams Morgan,https://washingtondc.craigslist.org/doc/apa/5233337133.html,5233337133,2015,10,4
Adams Morgan,$3740,3,1300,Oct 3,A 3 bedroom in Adams Morgan? YES please!,https://washingtondc.craigslist.org/doc/apa/5250839546.html,5250839546,2015,10,4
Adams Morgan,$1998,1,NA,Oct 3,One Bedroom in Adams Morgan in Well Established Building,https://washingtondc.craigslist.org/doc/apa/5240245866.html,5240245866,2015,10,4
Adams Morgan,$1995,1,NA,Oct 3,Large 1 Bedroom 1 Bath Apt in Adams Morgan,https://washingtondc.craigslist.org/doc/apa/5245814222.html,5245814222,2015,10,4
Adams Morgan,$2099,1,NA,Oct 3,1BD Apt in Adams Morgan/Kalorama Triangle in Well Est Building,https://washingtondc.craigslist.org/doc/apa/5207261909.html,5207261909,2015,10,4
Adams Morgan,$2049,1,NA,Oct 3,One Bedroom in Adams Morgan in Well Established Building,https://washingtondc.craigslist.org/doc/apa/5219659937.html,5219659937,2015,10,4
Adams Morgan,$2049,1,NA,Oct 3,Spacious Corner Apartment in Heart of Adams Morgan,https://washingtondc.craigslist.org/doc/apa/5241515304.html,5241515304,2015,10,4
Adams Morgan,$1955,1,670,Sep 29,Adams Morgan's Finest!,https://washingtondc.craigslist.org/doc/apa/5243957879.html,5243957879,2015,10,4
